,model_name,test_accuracy,test_precision,test_recall,test_f1
0,dense64_dense64_dense64,0.8372093023255814,0.9,0.8709677419354839,0.8852459016393444
1,dense64_dense64_dense128,0.8372093023255814,0.8333333333333334,0.967741935483871,0.8955223880597015
2,dense64_dense64_dense192,0.7674418604651163,0.8181818181818182,0.8709677419354839,0.84375
3,dense64_dense64_dense256,0.813953488372093,0.9259259259259259,0.8064516129032258,0.8620689655172414
4,dense64_dense128_dense64,0.8372093023255814,0.8333333333333334,0.967741935483871,0.8955223880597015
5,dense64_dense128_dense128,0.7674418604651163,0.7560975609756098,1.0,0.8611111111111112
6,dense64_dense128_dense192,0.8837209302325582,0.8611111111111112,1.0,0.9253731343283582
7,dense64_dense128_dense256,0.8604651162790697,0.8787878787878788,0.9354838709677419,0.90625
8,dense64_dense192_dense64,0.813953488372093,0.8709677419354839,0.8709677419354839,0.8709677419354839
9,dense64_dense192_dense128,0.8372093023255814,0.8333333333333334,0.967741935483871,0.8955223880597015
10,dense64_dense192_dense192,0.8604651162790697,0.8378378378378378,1.0,0.911764705882353
11,dense64_dense192_dense256,0.813953488372093,0.896551724137931,0.8387096774193549,0.8666666666666666
12,dense64_dense256_dense64,0.8604651162790697,0.8378378378378378,1.0,0.911764705882353
13,dense64_dense256_dense128,0.813953488372093,0.896551724137931,0.8387096774193549,0.8666666666666666
14,dense64_dense256_dense192,0.813953488372093,0.7948717948717948,1.0,0.8857142857142858
15,dense64_dense256_dense256,0.7906976744186046,0.8055555555555556,0.9354838709677419,0.8656716417910448
16,dense128_dense64_dense64,0.813953488372093,0.8285714285714286,0.9354838709677419,0.8787878787878788
17,dense128_dense64_dense128,0.813953488372093,0.896551724137931,0.8387096774193549,0.8666666666666666
18,dense128_dense64_dense192,0.7674418604651163,0.7560975609756098,1.0,0.8611111111111112
19,dense128_dense64_dense256,0.7906976744186046,0.8055555555555556,0.9354838709677419,0.8656716417910448
20,dense128_dense128_dense64,0.813953488372093,0.8285714285714286,0.9354838709677419,0.8787878787878788
21,dense128_dense128_dense128,0.8372093023255814,0.8529411764705882,0.9354838709677419,0.8923076923076922
22,dense128_dense128_dense192,0.7906976744186046,0.775,1.0,0.8732394366197184
23,dense128_dense128_dense256,0.8372093023255814,0.8157894736842105,1.0,0.898550724637681
24,dense128_dense192_dense64,0.813953488372093,0.8285714285714286,0.9354838709677419,0.8787878787878788
25,dense128_dense192_dense128,0.7906976744186046,0.775,1.0,0.8732394366197184
26,dense128_dense192_dense192,0.7906976744186046,0.8666666666666667,0.8387096774193549,0.8524590163934426
27,dense128_dense192_dense256,0.7674418604651163,0.7560975609756098,1.0,0.8611111111111112
28,dense128_dense256_dense64,0.8604651162790697,0.9032258064516129,0.9032258064516129,0.9032258064516129
29,dense128_dense256_dense128,0.8837209302325582,0.90625,0.9354838709677419,0.9206349206349206
30,dense128_dense256_dense192,0.8604651162790697,0.9032258064516129,0.9032258064516129,0.9032258064516129
31,dense128_dense256_dense256,0.7906976744186046,0.9230769230769231,0.7741935483870968,0.8421052631578947
32,dense192_dense64_dense64,0.8372093023255814,0.8333333333333334,0.967741935483871,0.8955223880597015
33,dense192_dense64_dense128,0.8372093023255814,0.9285714285714286,0.8387096774193549,0.8813559322033899
34,dense192_dense64_dense192,0.8604651162790697,0.8571428571428571,0.967741935483871,0.909090909090909
35,dense192_dense64_dense256,0.8604651162790697,0.8378378378378378,1.0,0.911764705882353
36,dense192_dense128_dense64,0.813953488372093,0.7948717948717948,1.0,0.8857142857142858
37,dense192_dense128_dense128,0.7906976744186046,0.775,1.0,0.8732394366197184
38,dense192_dense128_dense192,0.8372093023255814,0.8529411764705882,0.9354838709677419,0.8923076923076922
39,dense192_dense128_dense256,0.7906976744186046,0.8666666666666667,0.8387096774193549,0.8524590163934426
40,dense192_dense192_dense64,0.7674418604651163,0.8620689655172413,0.8064516129032258,0.8333333333333334
41,dense192_dense192_dense128,0.8372093023255814,0.8157894736842105,1.0,0.898550724637681
42,dense192_dense192_dense192,0.813953488372093,0.8108108108108109,0.967741935483871,0.8823529411764706
43,dense192_dense192_dense256,0.7674418604651163,0.8387096774193549,0.8387096774193549,0.8387096774193549
44,dense192_dense256_dense64,0.813953488372093,0.8709677419354839,0.8709677419354839,0.8709677419354839
45,dense192_dense256_dense128,0.813953488372093,0.9259259259259259,0.8064516129032258,0.8620689655172414
46,dense192_dense256_dense192,0.8604651162790697,0.8378378378378378,1.0,0.911764705882353
47,dense192_dense256_dense256,0.8604651162790697,0.8378378378378378,1.0,0.911764705882353
48,dense256_dense64_dense64,0.813953488372093,0.8285714285714286,0.9354838709677419,0.8787878787878788
49,dense256_dense64_dense128,0.7906976744186046,0.775,1.0,0.8732394366197184
50,dense256_dense64_dense192,0.813953488372093,0.8484848484848485,0.9032258064516129,0.875
51,dense256_dense64_dense256,0.8372093023255814,0.8157894736842105,1.0,0.898550724637681
52,dense256_dense128_dense64,0.8604651162790697,0.9032258064516129,0.9032258064516129,0.9032258064516129
53,dense256_dense128_dense128,0.8372093023255814,0.8333333333333334,0.967741935483871,0.8955223880597015
54,dense256_dense128_dense192,0.8604651162790697,0.9032258064516129,0.9032258064516129,0.9032258064516129
55,dense256_dense128_dense256,0.8372093023255814,0.9,0.8709677419354839,0.8852459016393444
56,dense256_dense192_dense64,0.813953488372093,0.8108108108108109,0.967741935483871,0.8823529411764706
57,dense256_dense192_dense128,0.6046511627906976,0.8888888888888888,0.5161290322580645,0.6530612244897959
58,dense256_dense192_dense192,0.813953488372093,0.7948717948717948,1.0,0.8857142857142858
59,dense256_dense192_dense256,0.813953488372093,0.896551724137931,0.8387096774193549,0.8666666666666666
60,dense256_dense256_dense64,0.8372093023255814,0.9285714285714286,0.8387096774193549,0.8813559322033899
61,dense256_dense256_dense128,0.7674418604651163,0.7560975609756098,1.0,0.8611111111111112
62,dense256_dense256_dense192,0.7906976744186046,0.7894736842105263,0.967741935483871,0.8695652173913043
63,dense256_dense256_dense256,0.813953488372093,0.9259259259259259,0.8064516129032258,0.8620689655172414
